887, 887, 887, 887, 887; 311, 887, 311, 311, 311; 887, 311, 887, 887, 887; 63, 262, 14, 63, 43; 90, 46, 57, 143, 14; 62, 6, 73, 41, 6; 1, 1, 1, 1, 1; 0, 1, 1, 0, 0; 1, 1, 1, 1, 0; 1
887, 887, 887, 887, 887; 887, 311, 887, 887, 887; 311, 887, 311, 311, 311; 63, 262, 14, 63, 43; 62, 6, 73, 41, 6; 90, 46, 57, 143, 14; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 0, 1, 1, 0, 0; 2
1104, 1104, 1104, 1104, 1104; 1104, 1298, 1298, 1298, 1298; 1298, 1104, 1104, 1104, 1104; 33, 61, 34, 7, 80; 41, 59, 100, 82, 17; 17, 39, 64, 29, 68; 1, 1, 1, 1, 0; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 0
1104, 1104, 1104, 1104, 1104; 1298, 1104, 1104, 1104, 1104; 1104, 1298, 1298, 1298, 1298; 33, 61, 34, 7, 80; 17, 39, 64, 29, 68; 41, 59, 100, 82, 17; 1, 1, 1, 1, 0; 1, 1, 1, 1, 0; 1, 1, 1, 1, 1; 1
716, 716, 716, 716, 716; 322, 322, 322, 716, 322; 716, 716, 716, 322, 716; 52, 23, 8, 132, 10; 94, 81, 82, 32, 29; 81, 30, 96, 20, 44; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
716, 716, 716, 716, 716; 716, 716, 716, 322, 716; 322, 322, 322, 716, 322; 52, 23, 8, 132, 10; 81, 30, 96, 20, 44; 94, 81, 82, 32, 29; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1
206, 206, 206, 206, 206; 622, 622, 206, 622, 622; 206, 206, 622, 206, 206; 32, 177, 43, 68, 38; 99, 11, 74, 4, 76; 97, 76, 38, 21, 88; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 0, 1; 2
206, 206, 206, 206, 206; 206, 206, 622, 206, 206; 622, 622, 206, 622, 622; 32, 177, 43, 68, 38; 97, 76, 38, 21, 88; 99, 11, 74, 4, 76; 1, 1, 1, 1, 1; 1, 1, 1, 0, 1; 1, 1, 1, 1, 1; 0
783, 783, 783, 783, 783; 195, 783, 195, 195, 195; 783, 195, 783, 783, 783; 99, 80, 55, 66, 5; 40, 81, 16, 76, 64; 63, 69, 62, 24, 64; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1
783, 783, 783, 783, 783; 783, 195, 783, 783, 783; 195, 783, 195, 195, 195; 99, 80, 55, 66, 5; 63, 69, 62, 24, 64; 40, 81, 16, 76, 64; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 2
