1050, 1050, 1050, 454, 1050; 314, 314, 314, 454, 314; 1050, 1050, 1050, 361, 1050; 79, 79, 79, 79, 79; 81, 81, 81, 81, 81; 18, 18, 18, 18, 18; 1, 1, 0, 1, 1; 1, 1, 1, 1, 1; 1, 1, 0, 1, 1; 3
1050, 1050, 1050, 454, 1050; 1050, 1050, 1050, 361, 1050; 314, 314, 314, 454, 314; 79, 79, 79, 79, 79; 18, 18, 18, 18, 18; 81, 81, 81, 81, 81; 1, 1, 0, 1, 1; 1, 1, 0, 1, 1; 1, 1, 1, 1, 1; 0
767, 767, 767, 767, 752; 463, 463, 463, 463, 752; 767, 767, 767, 767, 788; 46, 46, 46, 46, 46; 12, 12, 12, 12, 12; 86, 86, 86, 86, 86; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 0, 1; 4
767, 767, 767, 767, 752; 767, 767, 767, 767, 788; 463, 463, 463, 463, 752; 46, 46, 46, 46, 46; 86, 86, 86, 86, 86; 12, 12, 12, 12, 12; 1, 1, 1, 1, 1; 1, 1, 1, 0, 1; 1, 1, 1, 1, 1; 0
293, 293, 293, 363, 293; 828, 828, 828, 363, 828; 293, 293, 293, 1096, 293; 20, 20, 20, 20, 20; 41, 41, 41, 41, 41; 4, 4, 4, 4, 4; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 1, 1, 1, 1, 0; 3
293, 293, 293, 363, 293; 293, 293, 293, 1096, 293; 828, 828, 828, 363, 828; 20, 20, 20, 20, 20; 4, 4, 4, 4, 4; 41, 41, 41, 41, 41; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 1, 1, 1, 1, 0; 0
268, 268, 268, 824, 268; 561, 561, 561, 824, 561; 268, 268, 268, 545, 268; 61, 61, 61, 61, 61; 83, 83, 83, 83, 83; 150, 150, 150, 150, 150; 1, 1, 1, 1, 0; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 3
268, 268, 268, 824, 268; 268, 268, 268, 545, 268; 561, 561, 561, 824, 561; 61, 61, 61, 61, 61; 150, 150, 150, 150, 150; 83, 83, 83, 83, 83; 1, 1, 1, 1, 0; 1, 1, 1, 1, 0; 1, 1, 1, 1, 1; 2
174, 174, 1340, 174, 174; 726, 726, 1340, 726, 726; 174, 174, 528, 174, 174; 84, 84, 84, 84, 84; 56, 56, 56, 56, 56; 86, 86, 86, 86, 86; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 1, 1, 1, 1, 1; 2
174, 174, 1340, 174, 174; 174, 174, 528, 174, 174; 726, 726, 1340, 726, 726; 84, 84, 84, 84, 84; 86, 86, 86, 86, 86; 56, 56, 56, 56, 56; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 0; 3
