168, 168, 168, 950, 168; 131, 131, 131, 950, 131; 168, 168, 168, 538, 168; 89, 89, 89, 76, 89; 20, 20, 20, 78, 20; 91, 91, 91, 56, 91; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
353, 353, 353, 1362, 353; 98, 98, 98, 1362, 98; 353, 353, 353, 1214, 353; 87, 87, 87, 114, 87; 181, 181, 181, 116, 181; 89, 89, 89, 12, 89; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
531, 531, 531, 576, 531; 477, 477, 477, 576, 477; 531, 531, 531, 25, 531; 76, 76, 76, 183, 76; 38, 38, 38, 185, 38; 106, 106, 106, 70, 106; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
351, 351, 351, 603, 351; 994, 994, 994, 603, 994; 351, 351, 351, 1349, 351; 133, 133, 133, 63, 133; 185, 185, 185, 65, 185; 135, 135, 135, 110, 135; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
569, 569, 569, 179, 569; 138, 138, 138, 179, 138; 569, 569, 569, 63, 569; 113, 113, 113, 120, 113; 85, 85, 85, 122, 85; 115, 115, 115, 36, 115; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
265, 265, 265, 936, 265; 717, 717, 717, 936, 717; 265, 265, 265, 415, 265; 124, 124, 124, 134, 124; 181, 181, 181, 136, 181; 126, 126, 126, 54, 126; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
362, 362, 362, 452, 362; 979, 979, 979, 452, 979; 362, 362, 362, 887, 362; 89, 89, 89, 111, 89; 181, 181, 181, 113, 181; 91, 91, 91, 43, 91; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
265, 265, 265, 1053, 265; 14, 14, 14, 1053, 14; 265, 265, 265, 929, 265; 74, 74, 74, 85, 74; 15, 15, 15, 87, 15; 76, 76, 76, 164, 76; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
303, 303, 303, 399, 303; 500, 500, 500, 399, 500; 303, 303, 303, 86, 303; 96, 96, 96, 59, 96; 129, 129, 129, 61, 129; 98, 98, 98, 13, 98; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
200, 200, 200, 1024, 200; 348, 348, 348, 1024, 348; 200, 200, 200, 1138, 200; 108, 108, 108, 96, 108; 89, 89, 89, 117, 89; 110, 110, 110, 87, 110; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
201, 201, 201, 332, 201; 887, 887, 887, 332, 887; 201, 201, 201, 311, 201; 100, 100, 100, 199, 100; 47, 47, 47, 201, 47; 102, 102, 102, 52, 102; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
22, 22, 22, 751, 22; 667, 667, 667, 751, 667; 22, 22, 22, 316, 22; 101, 101, 101, 128, 101; 48, 48, 48, 130, 48; 103, 103, 103, 63, 103; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
48, 48, 48, 307, 48; 913, 913, 913, 307, 913; 48, 48, 48, 104, 48; 125, 125, 125, 109, 125; 79, 79, 79, 111, 79; 111, 111, 111, 90, 111; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
1181, 1181, 1181, 806, 1181; 599, 599, 599, 806, 599; 1181, 1181, 1181, 1364, 1181; 37, 37, 37, 46, 37; 21, 21, 21, 50, 21; 39, 39, 39, 145, 39; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
1192, 1192, 1192, 1254, 1192; 801, 801, 801, 1254, 801; 1192, 1192, 1192, 1007, 1192; 132, 132, 132, 18, 132; 61, 61, 61, 22, 61; 134, 134, 134, 74, 134; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
625, 625, 625, 120, 625; 1205, 1205, 1205, 120, 1205; 625, 625, 625, 31, 625; 45, 45, 45, 170, 45; 30, 30, 30, 168, 30; 49, 49, 49, 46, 49; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
239, 239, 239, 55, 239; 1121, 1121, 1121, 55, 1121; 239, 239, 239, 761, 239; 28, 28, 28, 78, 28; 92, 92, 92, 80, 92; 33, 33, 33, 95, 33; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
93, 93, 93, 949, 93; 1048, 1048, 1048, 949, 1048; 93, 93, 93, 514, 93; 89, 89, 89, 93, 89; 53, 53, 53, 95, 53; 91, 91, 91, 92, 91; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
316, 316, 316, 1036, 316; 975, 975, 975, 1036, 975; 316, 316, 316, 18, 316; 117, 117, 117, 177, 117; 67, 67, 67, 179, 67; 119, 119, 119, 135, 119; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
157, 157, 157, 87, 157; 391, 391, 391, 87, 391; 157, 157, 157, 911, 157; 29, 29, 29, 123, 29; 70, 70, 70, 127, 70; 34, 34, 34, 101, 34; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
39, 39, 39, 93, 39; 210, 210, 210, 93, 210; 39, 39, 39, 686, 39; 151, 151, 151, 102, 151; 23, 23, 23, 104, 23; 153, 153, 153, 191, 153; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
180, 180, 180, 1124, 180; 130, 130, 130, 1124, 130; 180, 180, 180, 1172, 180; 151, 151, 151, 64, 151; 117, 117, 117, 66, 117; 155, 155, 155, 93, 155; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
196, 196, 196, 636, 196; 106, 106, 106, 636, 106; 196, 196, 196, 769, 196; 78, 78, 78, 94, 78; 24, 24, 24, 96, 24; 107, 107, 107, 27, 107; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
670, 670, 670, 913, 670; 879, 879, 879, 913, 879; 670, 670, 670, 1369, 670; 81, 81, 81, 53, 81; 62, 62, 62, 55, 62; 83, 83, 83, 79, 83; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
202, 202, 202, 56, 202; 1153, 1153, 1153, 56, 1153; 202, 202, 202, 923, 202; 73, 73, 73, 152, 73; 109, 109, 109, 154, 109; 77, 77, 77, 100, 77; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 1, 1, 1, 1, 1; 3
