1303, -1, 1080, 1303, -1; 677, -1, 1080, 677, -1; 1303, -1, 134, 1303, -1; 19, -1, 16, 19, -1; 3, -1, 18, 3, -1; 21, -1, 34, 21, -1; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 2
1303, -1, 1080, 1303, -1; 1303, -1, 134, 1303, -1; 677, -1, 1080, 677, -1; 19, -1, 16, 19, -1; 21, -1, 34, 21, -1; 3, -1, 18, 3, -1; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 0
1309, 1309, 1083, -1, -1; 782, 782, 1083, -1, -1; 1309, 1309, 217, -1, -1; 9, 9, 28, -1, -1; 26, 26, 26, -1, -1; 11, 11, 11, -1, -1; 1, 1, 1, 0, 0; 1, 1, 1, 0, 0; 1, 1, 1, 0, 0; 2
1309, 1309, 1083, -1, -1; 1309, 1309, 217, -1, -1; 782, 782, 1083, -1, -1; 9, 9, 28, -1, -1; 11, 11, 11, -1, -1; 26, 26, 26, -1, -1; 1, 1, 1, 0, 0; 1, 1, 1, 0, 0; 1, 1, 1, 0, 0; 0
937, -1, 330, 330, -1; 937, -1, 418, 418, -1; 209, -1, 330, 330, -1; 22, -1, 6, 6, -1; 24, -1, 53, 53, -1; 4, -1, 8, 8, -1; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 0
937, -1, 330, 330, -1; 209, -1, 330, 330, -1; 937, -1, 418, 418, -1; 22, -1, 6, 6, -1; 4, -1, 8, 8, -1; 24, -1, 53, 53, -1; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 1, 0, 1, 1, 0; 3
963, -1, 963, -1, 931; 592, -1, 592, -1, 931; 963, -1, 963, -1, 577; 50, -1, 50, -1, 28; 36, -1, 36, -1, 30; 52, -1, 52, -1, 15; 1, 0, 1, 0, 1; 1, 0, 1, 0, 1; 1, 0, 1, 0, 1; 4
963, -1, 963, -1, 931; 963, -1, 963, -1, 577; 592, -1, 592, -1, 931; 50, -1, 50, -1, 28; 52, -1, 52, -1, 15; 36, -1, 36, -1, 30; 1, 0, 1, 0, 1; 1, 0, 1, 0, 1; 1, 0, 1, 0, 1; 2
-1, -1, -1, 913, 104; -1, -1, -1, 977, 104; -1, -1, -1, 913, 879; -1, -1, -1, 12, 18; -1, -1, -1, 11, 20; -1, -1, -1, 14, 9; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 4
-1, -1, -1, 913, 104; -1, -1, -1, 913, 879; -1, -1, -1, 977, 104; -1, -1, -1, 12, 18; -1, -1, -1, 14, 9; -1, -1, -1, 11, 20; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 3
954, 142, -1, 954, -1; 1177, 142, -1, 1177, -1; 954, 101, -1, 954, -1; 7, 9, -1, 7, -1; 23, 11, -1, 23, -1; 9, 29, -1, 9, -1; 1, 1, 0, 1, 0; 1, 1, 0, 1, 0; 1, 1, 0, 1, 0; 1
954, 142, -1, 954, -1; 954, 101, -1, 954, -1; 1177, 142, -1, 1177, -1; 7, 9, -1, 7, -1; 9, 29, -1, 9, -1; 23, 11, -1, 23, -1; 1, 1, 0, 1, 0; 1, 1, 0, 1, 0; 1, 1, 0, 1, 0; 0
991, -1, -1, -1, -1; 991, -1, -1, -1, -1; 525, -1, -1, -1, -1; 33, -1, -1, -1, -1; 35, -1, -1, -1, -1; 7, -1, -1, -1, -1; 1, 0, 0, 0, 0; 1, 0, 0, 0, 0; 1, 0, 0, 0, 0; 0
-1, 1332, 1332, 207, -1; -1, 87, 87, 207, -1; -1, 1332, 1332, 341, -1; -1, 6, 6, 31, -1; -1, 41, 41, 35, -1; -1, 18, 18, 28, -1; 0, 1, 1, 1, 0; 0, 1, 1, 1, 0; 0, 1, 1, 1, 0; 3
-1, 1332, 1332, 207, -1; -1, 1332, 1332, 341, -1; -1, 87, 87, 207, -1; -1, 6, 6, 31, -1; -1, 18, 18, 28, -1; -1, 41, 41, 35, -1; 0, 1, 1, 1, 0; 0, 1, 1, 1, 0; 0, 1, 1, 1, 0; 2
348, -1, -1, -1, -1; 348, -1, -1, -1, -1; 690, -1, -1, -1, -1; 41, -1, -1, -1, -1; 43, -1, -1, -1, -1; 47, -1, -1, -1, -1; 1, 0, 0, 0, 0; 1, 0, 0, 0, 0; 1, 0, 0, 0, 0; 0
-1, -1, -1, 1288, 1054; -1, -1, -1, 1288, 59; -1, -1, -1, 866, 1054; -1, -1, -1, 8, 48; -1, -1, -1, 10, 32; -1, -1, -1, 38, 44; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 3
-1, -1, -1, 1288, 1054; -1, -1, -1, 866, 1054; -1, -1, -1, 1288, 59; -1, -1, -1, 8, 48; -1, -1, -1, 38, 44; -1, -1, -1, 10, 32; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 0, 0, 0, 1, 1; 4
